level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1191	1684	-1	
2	1	1	0	0	0	496	73	197	18	-1	
3	1	1	1	0	0	496	73	197	18	-1	
4	1	1	1	1	0	496	73	197	18	-1	
5	1	1	1	1	1	496	73	66	18	91	Dzordz
5	1	1	1	1	2	569	74	49	17	91	Orvel
5	1	1	1	1	3	628	84	8	2	92	-
5	1	1	1	1	4	644	75	49	16	96	1984.
2	1	2	0	0	0	253	145	515	23	-1	
3	1	2	1	0	0	253	145	515	23	-1	
4	1	2	1	1	0	253	145	515	23	-1	
5	1	2	1	1	1	253	146	22	17	74	"Ti
5	1	2	1	1	2	286	146	12	17	93	si
5	1	2	1	1	3	308	146	95	17	90	buntovnik
5	1	2	1	1	4	411	151	49	12	96	samo
5	1	2	1	1	5	468	146	22	17	93	od
5	1	2	1	1	6	500	146	61	22	92	pojasa
5	1	2	1	1	7	570	145	75	21	89	nanize",
5	1	2	1	1	8	657	145	40	18	95	rece
5	1	2	1	1	9	705	146	24	22	96	joj
5	1	2	1	1	10	741	151	27	12	96	on.
2	1	3	0	0	0	180	181	830	43	-1	
3	1	3	1	0	0	180	181	830	43	-1	
4	1	3	1	1	0	253	181	757	23	-1	
5	1	3	1	1	1	253	183	36	16	96	Ona
5	1	3	1	1	2	302	183	45	16	96	nade
5	1	3	1	1	3	360	182	21	17	96	da
5	1	3	1	1	4	393	182	19	22	96	je
5	1	3	1	1	5	425	183	19	16	93	to
5	1	3	1	1	6	457	183	120	16	91	neverovatno
5	1	3	1	1	7	589	182	83	17	93	duhovito
5	1	3	1	1	8	686	182	2	17	92	i
5	1	3	1	1	9	702	181	116	23	80	oduSevljeno
5	1	3	1	1	10	831	187	28	12	96	mu
5	1	3	1	1	11	872	182	37	17	92	baci
5	1	3	1	1	12	923	182	41	17	92	ruke
5	1	3	1	1	13	977	182	33	17	96	oko
4	1	3	1	2	0	180	208	55	16	-1	
5	1	3	1	2	1	180	208	55	16	93	vrata.
2	1	4	0	0	0	179	243	831	405	-1	
3	1	4	1	0	0	179	243	831	405	-1	
4	1	4	1	1	0	252	243	757	22	-1	
5	1	4	1	1	1	252	244	22	16	92	Za
5	1	4	1	1	2	284	243	58	17	92	finese
5	1	4	1	1	3	353	243	85	22	92	partijske
5	1	4	1	1	4	448	243	81	17	93	doktrine
5	1	4	1	1	5	540	243	35	22	91	nije
5	1	4	1	1	6	587	243	51	17	91	imala
5	1	4	1	1	7	649	243	63	17	92	nimalo
5	1	4	1	1	8	723	243	137	22	91	interesovanja.
5	1	4	1	1	9	874	243	33	17	96	Kad
5	1	4	1	1	10	917	243	33	22	96	god
5	1	4	1	1	11	962	243	14	17	96	bi
5	1	4	1	1	12	987	248	22	12	96	on
4	1	4	1	2	0	181	268	827	23	-1	
5	1	4	1	2	1	181	268	82	23	73	pocinjao
5	1	4	1	2	2	283	269	21	17	92	da
5	1	4	1	2	3	325	268	47	23	89	prica
5	1	4	1	2	4	392	274	9	12	85	o
5	1	4	1	2	5	421	269	102	22	92	principima
5	1	4	1	2	6	543	269	87	22	91	englsoca,
5	1	4	1	2	7	653	269	84	20	92	dvomisli,
5	1	4	1	2	8	760	269	115	22	83	izmenjivosti
5	1	4	1	2	9	897	268	86	23	64	proSlosti,
5	1	4	1	2	10	1006	269	2	17	93	i
4	1	4	1	3	0	181	293	829	23	-1	
5	1	4	1	3	1	181	294	91	22	92	poricanju
5	1	4	1	3	2	288	294	103	22	92	objektivne
5	1	4	1	3	3	406	294	100	20	92	stvarnosti,
5	1	4	1	3	4	525	294	2	17	96	i
5	1	4	1	3	5	544	294	21	17	93	da
5	1	4	1	3	6	582	294	123	22	91	upotrebljava
5	1	4	1	3	7	722	293	34	18	89	reci
5	1	4	1	3	8	773	294	14	17	92	iz
5	1	4	1	3	9	804	295	116	21	92	Novogovora,
5	1	4	1	3	10	939	294	34	22	96	njoj
5	1	4	1	3	11	991	294	19	22	96	je
4	1	4	1	4	0	181	318	828	23	-1	
5	1	4	1	4	1	181	319	89	22	92	postajalo
5	1	4	1	4	2	280	319	83	20	92	dosadno,
5	1	4	1	4	3	375	319	100	22	92	zbunjivala
5	1	4	1	4	4	485	319	15	17	96	bi
5	1	4	1	4	5	510	324	19	12	92	se
5	1	4	1	4	6	540	319	2	17	92	i
5	1	4	1	4	7	552	319	77	22	93	govorila
5	1	4	1	4	8	638	319	21	17	96	da
5	1	4	1	4	9	669	324	21	12	96	na
5	1	4	1	4	10	699	320	19	16	93	to
